"mOTU"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"mOTU_full"
"ref_mOTU_v25_05183"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Xanthomonadaceae gen. incertae sedis"	"Xanthomonadaceae sp. [Xanthomonadaceae bacterium SCN 69-320/Xanthomonadaceae bacterium SCN 69-25/Xanthomonadales bacterium 69-70]"	"ref_mOTU_v25_05183"
"ref_mOTU_v25_05184"	"Bacteria"	"Armatimonadetes"	"Armatimonadetes class incertae sedis"	"Armatimonadetes order incertae sedis"	"Armatimonadetes fam. incertae sedis"	"Armatimonadetes gen. incertae sedis"	"Armatimonadetes bacterium [Armatimonadetes bacterium GBS/Armatimonadetes bacterium GXS/Armatimonadetes bacterium DC]"	"ref_mOTU_v25_05184"
"ref_mOTU_v25_05185"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Rhodobacteraceae gen. [Rhodobacter/Paenirhodobacter]"	"Rhodobacteraceae sp. [Paenirhodobacter sp. MME-103/Rhodobacter sp. LPB0142]"	"ref_mOTU_v25_05185"
"ref_mOTU_v25_05186"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium sp. BGARF1"	"ref_mOTU_v25_05186"
"ref_mOTU_v25_05187"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium balustinum"	"ref_mOTU_v25_05187"
"ref_mOTU_v25_05188"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium scophthalmum"	"ref_mOTU_v25_05188"
"ref_mOTU_v25_05189"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	"Chryseobacterium indoltheticum"	"ref_mOTU_v25_05189"
"ref_mOTU_v25_05190"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria class incertae sedis"	"Oscillatoriales"	"Oscillatoriaceae"	"Phormidium"	"Phormidium sp. OSCR"	"ref_mOTU_v25_05190"
"ref_mOTU_v25_05191"	"Bacteria"	"Cyanobacteria"	"Cyanobacteria class incertae sedis"	"Oscillatoriales"	"Oscillatoriaceae"	"Phormidium"	"Phormidium willei"	"ref_mOTU_v25_05191"
"ref_mOTU_v25_05192"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Erythrobacteraceae"	"Erythrobacter"	"Erythrobacter sp. [Erythrobacteraceae bacterium HL-111/Erythrobacter sp. HL-111]"	"ref_mOTU_v25_05192"
"ref_mOTU_v25_05193"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Roseibaca"	"Roseibaca calidilacus"	"ref_mOTU_v25_05193"
"ref_mOTU_v25_05194"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	"Clostridium sp. C8"	"ref_mOTU_v25_05194"
"ref_mOTU_v25_05195"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium"	"Clostridium sp. 7_2_43FAA"	"ref_mOTU_v25_05195"
"ref_mOTU_v25_05196"	"Archaea"	"Euryarchaeota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanomicrobiaceae"	"Methanoculleus"	"Methanoculleus sp. [Candidatus Methanoculleus thermohydrogenotrophicum/uncultured Methanoculleus sp.]"	"ref_mOTU_v25_05196"
"ref_mOTU_v25_05197"	"Archaea"	"Euryarchaeota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanomicrobiaceae"	"Methanoculleus"	"Methanoculleus thermophilus [Methanoculleus sp. DTU007/Methanoculleus thermophilus]"	"ref_mOTU_v25_05197"
"ref_mOTU_v25_05198"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridia order incertae sedis"	"Clostridia fam. incertae sedis"	"Clostridia gen. incertae sedis"	"Clostridia sp. [Clostridia bacterium DTU014/uncultured Clostridia bacterium]"	"ref_mOTU_v25_05198"
"ref_mOTU_v25_05199"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales fam. incertae sedis"	"Clostridiales gen. incertae sedis"	"Clostridiales sp. [Clostridiales bacterium DTU012/uncultured Clostridia bacterium]"	"ref_mOTU_v25_05199"
"ref_mOTU_v25_05200"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Cellulomonadaceae"	"Cellulomonas"	"Cellulomonas sp. A375-1"	"ref_mOTU_v25_05200"
"ref_mOTU_v25_05201"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetales fam. incertae sedis"	"Actinomycetales gen. incertae sedis"	"Actinomycetales bacterium Actino_01"	"ref_mOTU_v25_05201"
"ref_mOTU_v25_05202"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Rhizobium"	"Rhizobium rhizosphaerae"	"ref_mOTU_v25_05202"
"ref_mOTU_v25_05203"	"Archaea"	"Euryarchaeota"	"Thermoplasmata"	"Thermoplasmatales"	"Cuniculiplasmataceae"	"Cuniculiplasma"	"Cuniculiplasma divulgatum [Cuniculiplasma divulgatum/Thermoplasmatales archaeon Gpl]"	"ref_mOTU_v25_05203"
"ref_mOTU_v25_05204"	"Bacteria"	"Firmicutes"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Peptoniphilus"	"Peptoniphilus rhinitidis/lacydonensis"	"ref_mOTU_v25_05204"
"ref_mOTU_v25_05205"	"Bacteria"	"Spirochaetes"	"Spirochaetia"	"Spirochaetales"	"Spirochaetaceae"	"Treponema"	"Treponema brennaborense [Spirochaetales bacterium Spiro_08/Treponema brennaborense]"	"ref_mOTU_v25_05205"
"ref_mOTU_v25_05206"	"Bacteria"	"Bacteria phylum incertae sedis"	"Bacteria class incertae sedis"	"Bacteria order incertae sedis"	"Bacteria fam. incertae sedis"	"Bacteria gen. incertae sedis"	"bacterium EBM-40 [Spirochaetales bacterium Spiro_12/bacterium EBM-40]"	"ref_mOTU_v25_05206"
"ref_mOTU_v25_05207"	"Bacteria"	"Chlorobi"	"Chlorobia"	"Chlorobiales"	"Chlorobiales fam. incertae sedis"	"Chlorobiales gen. incertae sedis"	"Chlorobiales bacterium Clorobi_01"	"ref_mOTU_v25_05207"
